dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
mesophyll_top10000	15121.0	M01052	561.0	258.0	0.0009	0.001804054054054054	2.1744186046511627
mesophyll_top10000	15121.0	M01053	269.0	321.0	0.999	1.0	0.838006230529595
mesophyll_top10000	15121.0	M01055	327.0	333.0	0.623	0.9670988372093023	0.9819819819819819
mesophyll_top10000	15121.0	M01056	421.0	304.0	0.0009	0.001804054054054054	1.3848684210526316
mesophyll_top10000	15121.0	M01057	668.0	423.0	0.0009	0.001804054054054054	1.57919621749409
mesophyll_top10000	15121.0	M01058	501.0	314.0	0.0009	0.001804054054054054	1.5955414012738853
mesophyll_top10000	15121.0	M01059	653.0	444.0	0.0009	0.001804054054054054	1.4707207207207207
mesophyll_top10000	15121.0	M01062	2170.0	532.0	0.0009	0.001804054054054054	4.078947368421052
mesophyll_top10000	15121.0	M01063	764.0	381.0	0.0009	0.001804054054054054	2.005249343832021
mesophyll_top10000	15121.0	M01064	320.0	271.0	0.001	0.0019690265486725666	1.1808118081180812
mesophyll_top10000	15121.0	M01065	1060.0	249.0	0.0009	0.001804054054054054	4.257028112449799
mesophyll_top10000	15121.0	M01066	417.0	340.0	0.0009	0.001804054054054054	1.2264705882352942
mesophyll_top10000	15121.0	M01067	360.0	360.0	0.506	0.8041785714285714	1.0
mesophyll_top10000	15121.0	M01068	359.0	515.0	1.0	1.0	0.6970873786407767
mesophyll_top10000	15121.0	M01069	720.0	506.0	0.0009	0.001804054054054054	1.4229249011857708
mesophyll_top10000	15121.0	M01070	394.0	450.0	1.0	1.0	0.8755555555555555
mesophyll_top10000	15121.0	M01071	408.0	408.0	0.514	0.8139857651245552	1.0
mesophyll_top10000	15121.0	M01072	251.0	206.0	0.003	0.005821220930232558	1.2184466019417475
mesophyll_top10000	15121.0	M01073	272.0	339.0	1.0	1.0	0.8023598820058997
mesophyll_top10000	15121.0	M01074	712.0	538.5	0.0009	0.001804054054054054	1.3221912720519964
mesophyll_top10000	15121.0	M01076	662.0	406.0	0.0009	0.001804054054054054	1.6305418719211822
mesophyll_top10000	15121.0	M01077	369.0	497.0	1.0	1.0	0.7424547283702213
mesophyll_top10000	15121.0	M01078	600.0	367.0	0.0009	0.001804054054054054	1.6348773841961852
mesophyll_top10000	15121.0	M01079	676.0	343.0	0.0009	0.001804054054054054	1.9708454810495626
mesophyll_top10000	15121.0	M01081	317.0	261.0	0.0009	0.001804054054054054	1.21455938697318
mesophyll_top10000	15121.0	M01082	346.0	358.0	0.753	1.0	0.9664804469273743
mesophyll_top10000	15121.0	M01083	351.0	460.0	1.0	1.0	0.7630434782608696
mesophyll_top10000	15121.0	M01086	631.0	331.0	0.0009	0.001804054054054054	1.906344410876133
