dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
bundle_sheath_top10000	15469.0	M07105	314.0	268.0	0.002	0.0037765205091937768	1.171641791044776
bundle_sheath_top10000	15469.0	M07106	300.0	262.0	0.008	0.014550408719346047	1.1450381679389312
bundle_sheath_top10000	15469.0	M07107	354.0	342.0	0.289	0.458757431629013	1.0350877192982457
bundle_sheath_top10000	15469.0	M07108	597.0	277.0	0.0009	0.0017695139911634758	2.155234657039711
bundle_sheath_top10000	15469.0	M07109	438.0	319.0	0.0009	0.0017695139911634758	1.3730407523510972
bundle_sheath_top10000	15469.0	M07110	440.0	333.0	0.0009	0.0017695139911634758	1.3213213213213213
bundle_sheath_top10000	15469.0	M07111	411.0	377.0	0.041	0.07164267015706807	1.090185676392573
bundle_sheath_top10000	15469.0	M07112	219.0	455.0	1.0	1.0	0.48131868131868133
bundle_sheath_top10000	15469.0	M07113	225.0	465.0	1.0	1.0	0.4838709677419355
bundle_sheath_top10000	15469.0	M07114	702.0	316.0	0.0009	0.0017695139911634758	2.221518987341772
bundle_sheath_top10000	15469.0	M07115	375.0	370.0	0.415	0.6419756662804171	1.0135135135135136
bundle_sheath_top10000	15469.0	M07116	452.0	311.0	0.0009	0.0017695139911634758	1.4533762057877813
bundle_sheath_top10000	15469.0	M07117	504.0	222.0	0.0009	0.0017695139911634758	2.27027027027027
bundle_sheath_top10000	15469.0	M07118	554.0	211.0	0.0009	0.0017695139911634758	2.625592417061611
bundle_sheath_top10000	15469.0	M07120	728.0	339.0	0.0009	0.0017695139911634758	2.1474926253687316
bundle_sheath_top10000	15469.0	M07121	460.0	340.0	0.0009	0.0017695139911634758	1.3529411764705883
bundle_sheath_top10000	15469.0	M07122	360.0	280.0	0.0009	0.0017695139911634758	1.2857142857142858
bundle_sheath_top10000	15469.0	M07123	468.0	308.0	0.0009	0.0017695139911634758	1.5194805194805194
bundle_sheath_top10000	15469.0	M07124	342.0	321.0	0.112	0.1880754716981132	1.0654205607476634
bundle_sheath_top10000	15469.0	M07127	384.0	395.0	0.695	1.0	0.9721518987341772
bundle_sheath_top10000	15469.0	M07128	515.0	293.0	0.0009	0.0017695139911634758	1.757679180887372
bundle_sheath_top10000	15469.0	M07129	710.0	334.0	0.0009	0.0017695139911634758	2.125748502994012
bundle_sheath_top10000	15469.0	M07130	728.0	380.0	0.0009	0.0017695139911634758	1.9157894736842105
bundle_sheath_top10000	15469.0	M07131	671.0	291.0	0.0009	0.0017695139911634758	2.3058419243986252
bundle_sheath_top10000	15469.0	M07132	241.0	272.0	0.985	1.0	0.8860294117647058
bundle_sheath_top10000	15469.0	M07134	304.0	387.0	1.0	1.0	0.7855297157622739
bundle_sheath_top10000	15469.0	M07135	284.0	433.0	1.0	1.0	0.6558891454965358
bundle_sheath_top10000	15469.0	M07136	409.0	365.0	0.009	0.01628048780487805	1.1205479452054794
bundle_sheath_top10000	15469.0	M07137	336.0	257.0	0.0009	0.0017695139911634758	1.3073929961089494
bundle_sheath_top10000	15469.0	M07138	605.0	236.0	0.0009	0.0017695139911634758	2.5635593220338984
bundle_sheath_top10000	15469.0	M07139	558.0	254.0	0.0009	0.0017695139911634758	2.1968503937007875
bundle_sheath_top10000	15469.0	M07140	322.0	275.5	0.006	0.01107883817427386	1.1687840290381126
bundle_sheath_top10000	15469.0	M07141	314.0	274.0	0.015	0.026987870619946088	1.145985401459854
bundle_sheath_top10000	15469.0	M07142	328.0	269.0	0.001	0.0019236311239193085	1.2193308550185873
bundle_sheath_top10000	15469.0	M07143	405.0	313.0	0.0009	0.0017695139911634758	1.293929712460064
bundle_sheath_top10000	15469.0	M07144	358.0	248.0	0.0009	0.0017695139911634758	1.4435483870967742
bundle_sheath_top10000	15469.0	M07145	326.0	270.0	0.002	0.0037765205091937768	1.2074074074074075
bundle_sheath_top10000	15469.0	M07148	245.0	240.0	0.387	0.6021503496503496	1.0208333333333333
bundle_sheath_top10000	15469.0	M07149	375.0	259.0	0.0009	0.0017695139911634758	1.4478764478764479
bundle_sheath_top10000	15469.0	M07150	397.0	321.0	0.0009	0.0017695139911634758	1.236760124610592
