GO:0048638	Zm00001d046238
GO:0008544	Zm00001d016632
GO:0000712	Zm00001d042558
GO:0010043	Zm00001d020926
GO:0009266	Zm00001d031348
GO:0009891	Zm00001d043927
GO:0009635	Zm00001d032268
GO:0030258	Zm00001d007942
GO:0055046	Zm00001d005750
GO:0009636	Zm00001d005482
GO:1901657	Zm00001d045135
GO:0048646	Zm00001d033859
GO:0062197	Zm00001d026679
GO:0042743	Zm00001d026357
GO:0019216	Zm00001d028024
GO:0010118	Zm00001d011454
GO:0046352	Zm00001d016708
GO:0034470	Zm00001d007934
GO:0036293	Zm00001d022530
GO:0048468	Zm00001d044647
GO:0017144	Zm00001d010925
GO:0030308	Zm00001d034547
GO:0010558	Zm00001d032894
GO:0010239	Zm00001d051967
GO:0031327	Zm00001d033511
GO:0009733	Zm00001d008428
GO:0009893	Zm00001d032218
GO:0009067	Zm00001d047166
GO:0008610	Zm00001d002367
GO:0010043	Zm00001d008619
GO:0046686	Zm00001d014863
GO:0048878	Zm00001d027469
GO:0006457	Zm00001d013842
GO:0019748	Zm00001d045468
GO:0007034	Zm00001d017979
GO:0008610	Zm00001d003352
GO:0006520	Zm00001d042538
GO:0006779	Zm00001d029034
GO:0010038	Zm00001d031136
GO:0044550	Zm00001d039788
GO:0048764	Zm00001d052875
GO:0072596	Zm00001d028586
GO:0017144	Zm00001d007578
GO:0045089	Zm00001d002532
GO:0010038	Zm00001d036401
GO:1901679	Zm00001d010478
GO:0090558	Zm00001d046941
GO:1902475	Zm00001d035162
GO:0009414	Zm00001d014055
GO:0010584	Zm00001d052475
GO:0048523	Zm00001d025740
GO:0006281	Zm00001d054073
GO:0010025	Zm00001d014175
GO:0009124	Zm00001d022581
GO:0090558	Zm00001d014957
GO:0048522	Zm00001d019349
GO:0015031	Zm00001d020359
GO:0006605	Zm00001d037892
GO:1902652	Zm00001d044021
GO:1901137	Zm00001d033544
GO:0043902	Zm00001d049080
GO:0006529	Zm00001d006214
GO:0009909	Zm00001d020573
GO:0071495	Zm00001d042443
GO:0009415	Zm00001d033967
GO:0017144	Zm00001d003381
GO:0043543	Zm00001d051480
GO:0097305	Zm00001d051480
GO:0048588	Zm00001d047651
GO:0048580	Zm00001d025514
GO:0043576	Zm00001d039881
GO:0071365	Zm00001d015379
GO:0019757	Zm00001d016952
GO:0009845	Zm00001d038854
GO:0000280	Zm00001d053930
GO:0052548	Zm00001d024996
GO:0006428	Zm00001d029954
GO:0140014	Zm00001d021568
GO:0006412	Zm00001d043329
GO:0009266	Zm00001d014966
GO:0007049	Zm00001d005140
GO:0008104	Zm00001d052308
GO:0006259	Zm00001d044661
GO:0048764	Zm00001d018526
GO:0031348	Zm00001d050755
GO:0006970	Zm00001d031146
GO:0051276	Zm00001d014858
GO:0000226	Zm00001d047923
